id,race,sex,age,juv_fel_count,juv_misd_count,priors_count,charge_id,charge_degree (misd/fel),compas_decile_score,two_year_recid,compas_guess
41,Caucasian,Male,30,0,0,9,170,1,9,Did recid.,Did recid.
42,Black,Male,32,0,0,4,36,1,8,Did recid.,Did recid.
45,Caucasian,Male,55,0,0,0,28,1,1,No recid.,No recid.
50,Other,Male,49,0,0,7,7,1,3,Did recid.,No recid.
51,Caucasian,Male,26,0,0,6,239,0,8,No recid.,Did recid.
52,Caucasian,Female,33,0,0,4,45,0,5,Did recid.,Did recid.
53,Caucasian,Male,24,0,0,1,45,0,2,Did recid.,No recid.
54,Black,Male,34,2,1,21,275,1,9,Did recid.,Did recid.
55,Caucasian,Male,29,0,0,0,283,0,2,No recid.,No recid.
56,Black,Female,21,0,0,2,28,1,8,No recid.,Did recid.
57,Black,Male,51,0,0,2,410,0,1,No recid.,No recid.
59,Caucasian,Male,29,0,0,2,423,0,2,Did recid.,No recid.
61,Black,Female,51,0,0,7,306,1,2,No recid.,No recid.
64,Black,Male,29,0,0,0,102,1,7,Did recid.,Did recid.
66,Caucasian,Male,25,0,0,9,45,0,10,Did recid.,Did recid.
67,Black,Male,35,1,0,13,418,1,8,Did recid.,Did recid.
68,Caucasian,Male,49,0,0,0,133,0,1,No recid.,No recid.
69,Black,Male,34,0,0,4,127,0,3,Did recid.,No recid.
70,Black,Male,29,0,0,0,379,1,4,No recid.,No recid.
71,Caucasian,Male,29,0,0,1,319,1,2,Did recid.,No recid.
72,Other,Female,28,0,0,0,190,1,2,No recid.,No recid.
75,Caucasian,Male,48,0,0,20,28,1,6,Did recid.,Did recid.
77,Hispanic,Female,63,0,0,1,28,1,1,No recid.,No recid.
79,Black,Male,31,0,0,15,37,1,5,No recid.,Did recid.
80,Black,Male,24,0,0,2,271,1,4,Did recid.,No recid.
83,Hispanic,Male,30,0,0,0,283,0,7,No recid.,Did recid.
84,Black,Male,49,0,0,4,45,0,1,No recid.,No recid.
85,Caucasian,Male,53,0,0,8,28,1,5,No recid.,Did recid.
87,Black,Male,35,0,0,5,129,1,3,No recid.,No recid.
88,Black,Male,63,0,0,10,286,0,7,Did recid.,Did recid.
90,Black,Male,27,1,1,15,129,1,10,Did recid.,Did recid.
91,Caucasian,Male,38,0,0,4,45,0,2,Did recid.,No recid.
93,Black,Male,22,0,0,1,257,1,4,Did recid.,No recid.
95,Black,Male,22,0,1,2,352,1,10,Did recid.,Did recid.
96,Black,Male,29,0,0,4,28,1,9,Did recid.,Did recid.
97,Hispanic,Male,62,0,0,0,409,0,1,No recid.,No recid.
98,Black,Male,27,0,1,6,21,1,6,Did recid.,Did recid.
99,Other,Male,33,0,0,0,45,0,1,No recid.,No recid.
100,Black,Female,56,0,0,0,45,0,1,No recid.,No recid.
101,Hispanic,Male,45,0,0,6,306,1,1,Did recid.,No recid.
102,Hispanic,Male,22,0,0,1,64,1,4,No recid.,No recid.
105,Black,Male,39,0,0,1,28,0,4,No recid.,No recid.
107,Black,Male,29,0,0,5,162,1,6,Did recid.,Did recid.
108,Caucasian,Male,27,0,0,1,28,1,6,Did recid.,Did recid.
111,Black,Male,40,0,0,2,28,1,2,No recid.,No recid.
113,Black,Male,22,0,0,1,45,0,3,Did recid.,No recid.
114,Caucasian,Male,22,0,0,0,190,1,8,No recid.,Did recid.
115,Black,Female,26,0,0,1,252,1,4,Did recid.,No recid.
116,Caucasian,Male,27,0,0,1,60,1,7,Did recid.,Did recid.
119,Black,Male,32,0,0,0,169,1,2,No recid.,No recid.
120,Black,Male,41,0,0,1,28,0,2,No recid.,No recid.
122,Black,Male,30,0,0,8,283,0,10,Did recid.,Did recid.
127,Other,Male,50,0,0,0,28,1,1,Did recid.,No recid.
128,Black,Male,25,1,6,14,28,1,10,Did recid.,Did recid.
130,Other,Male,20,0,0,0,379,1,5,Did recid.,Did recid.
131,Black,Male,22,1,0,2,40,1,9,Did recid.,Did recid.
132,Black,Male,23,0,0,2,28,0,7,Did recid.,Did recid.
136,Black,Female,35,0,0,1,28,0,2,No recid.,No recid.
137,Black,Male,36,0,0,9,112,1,7,Did recid.,Did recid.
138,Caucasian,Male,26,0,0,7,292,1,8,Did recid.,Did recid.
139,Other,Male,21,0,0,1,190,1,6,Did recid.,Did recid.
142,Caucasian,Male,25,0,0,9,246,1,8,Did recid.,Did recid.
143,Black,Male,71,0,0,12,283,0,7,No recid.,Did recid.
145,Caucasian,Female,20,0,0,0,280,1,7,No recid.,Did recid.
146,Caucasian,Male,39,0,0,2,297,1,1,Did recid.,No recid.
147,Caucasian,Male,66,0,0,3,178,1,1,No recid.,No recid.
148,Caucasian,Female,54,0,0,0,133,0,1,No recid.,No recid.
150,Hispanic,Female,44,0,0,0,45,0,1,No recid.,No recid.
151,Black,Male,19,0,0,1,45,0,4,Did recid.,No recid.
152,Black,Male,24,0,0,1,28,1,2,No recid.,No recid.
153,Black,Male,30,0,0,1,152,1,2,No recid.,No recid.
154,Caucasian,Female,39,0,0,0,15,1,1,Did recid.,No recid.
156,Caucasian,Male,24,0,1,8,163,1,6,Did recid.,Did recid.
157,Caucasian,Male,30,0,0,0,317,1,4,No recid.,No recid.
158,Caucasian,Male,31,0,0,0,45,0,5,No recid.,Did recid.
159,Caucasian,Female,39,0,0,1,318,1,4,No recid.,No recid.
160,Black,Male,59,0,0,14,28,1,9,Did recid.,Did recid.
163,Caucasian,Male,43,0,0,1,306,1,1,No recid.,No recid.
166,Black,Male,21,0,0,3,190,1,9,Did recid.,Did recid.
169,Caucasian,Male,38,0,0,5,283,0,4,Did recid.,No recid.
171,Caucasian,Male,34,0,0,0,16,1,5,No recid.,Did recid.
173,Black,Male,33,0,0,5,253,1,5,Did recid.,Did recid.
174,Black,Male,37,0,0,3,280,1,2,No recid.,No recid.
175,Caucasian,Male,42,0,0,1,13,1,2,Did recid.,No recid.
176,Black,Male,41,0,1,10,306,1,9,Did recid.,Did recid.
177,Black,Male,22,0,0,0,418,1,4,Did recid.,No recid.
178,Black,Male,33,0,12,28,129,1,8,Did recid.,Did recid.
180,Black,Male,31,0,0,1,45,0,7,No recid.,Did recid.
182,Other,Female,30,0,0,1,89,1,2,No recid.,No recid.
183,Caucasian,Male,31,0,0,13,28,1,10,Did recid.,Did recid.
184,Black,Male,27,0,0,3,306,1,9,Did recid.,Did recid.
187,Black,Male,56,0,0,8,28,1,9,No recid.,Did recid.
189,Caucasian,Male,52,0,0,3,45,0,9,No recid.,Did recid.
190,Black,Male,33,0,0,19,28,1,10,Did recid.,Did recid.
192,Caucasian,Female,64,0,0,2,337,0,1,No recid.,No recid.
193,Caucasian,Male,22,0,0,4,297,1,6,Did recid.,Did recid.
194,Caucasian,Male,42,0,0,6,297,1,3,No recid.,No recid.
195,Caucasian,Female,25,0,0,2,28,1,4,No recid.,No recid.
197,Caucasian,Male,30,0,0,1,7,0,2,No recid.,No recid.
199,Caucasian,Male,28,0,0,2,28,1,1,No recid.,No recid.
200,Other,Female,37,0,0,2,242,0,2,No recid.,No recid.
202,Caucasian,Male,28,0,0,0,123,0,2,Did recid.,No recid.
203,Black,Female,24,0,0,0,45,0,2,No recid.,No recid.
206,Caucasian,Female,29,0,1,10,190,1,4,Did recid.,No recid.
208,Caucasian,Male,44,0,0,2,45,0,2,Did recid.,No recid.
209,Hispanic,Female,30,0,0,4,49,1,5,Did recid.,Did recid.
210,Black,Male,32,0,0,3,306,1,7,Did recid.,Did recid.
213,Caucasian,Male,31,0,0,2,337,0,3,Did recid.,No recid.
215,Black,Male,31,0,0,1,215,0,2,No recid.,No recid.
216,Caucasian,Male,59,0,0,1,306,1,2,Did recid.,No recid.
218,Caucasian,Female,45,0,0,4,28,1,4,No recid.,No recid.
220,Black,Female,20,1,0,1,28,1,10,No recid.,Did recid.
222,Caucasian,Female,43,0,0,0,133,0,1,No recid.,No recid.
223,Black,Male,38,1,1,9,306,1,8,Did recid.,Did recid.
224,Black,Male,32,0,0,11,268,1,6,Did recid.,Did recid.
225,Black,Male,33,0,0,8,31,0,5,Did recid.,Did recid.
227,Black,Female,31,0,0,0,319,1,3,Did recid.,No recid.
228,Black,Female,33,0,0,7,306,1,9,Did recid.,Did recid.
229,Black,Male,27,0,0,2,379,1,9,Did recid.,Did recid.
231,Black,Female,20,0,0,0,190,1,6,No recid.,Did recid.
232,Caucasian,Female,26,0,0,0,151,0,6,No recid.,Did recid.
234,Black,Female,61,0,0,1,365,1,1,Did recid.,No recid.
235,Other,Male,52,0,0,13,175,1,7,Did recid.,Did recid.
236,Hispanic,Male,63,0,0,1,28,1,1,No recid.,No recid.
238,Black,Female,32,0,0,4,28,1,10,Did recid.,Did recid.
239,Hispanic,Male,29,0,0,1,190,1,4,No recid.,No recid.
240,Other,Female,46,0,0,1,189,1,2,No recid.,No recid.
241,Black,Female,26,0,0,2,128,0,4,Did recid.,No recid.
242,Black,Male,55,0,0,3,45,0,1,No recid.,No recid.
243,Caucasian,Male,39,1,0,1,28,0,4,No recid.,No recid.
244,Caucasian,Female,30,0,0,3,304,1,7,Did recid.,Did recid.
245,Black,Male,30,0,0,1,56,1,7,No recid.,Did recid.
246,Caucasian,Male,48,0,0,2,45,0,2,No recid.,No recid.
248,Black,Male,22,0,0,1,28,1,2,No recid.,No recid.
249,Caucasian,Male,46,0,0,6,129,1,1,Did recid.,No recid.
251,Caucasian,Female,49,0,0,6,89,1,6,No recid.,Did recid.
252,Caucasian,Male,31,0,0,0,108,1,5,No recid.,Did recid.
254,Black,Male,25,0,0,1,45,0,2,Did recid.,No recid.
257,Hispanic,Male,23,0,0,0,280,1,3,No recid.,No recid.
258,Black,Female,32,0,0,5,15,1,7,No recid.,Did recid.
259,Hispanic,Male,52,0,0,2,206,0,1,No recid.,No recid.
260,Black,Male,62,0,0,8,306,1,4,No recid.,No recid.
262,Caucasian,Female,37,0,0,6,306,1,10,No recid.,Did recid.
263,Caucasian,Male,55,0,0,1,190,1,1,No recid.,No recid.
264,Hispanic,Male,31,0,0,8,28,1,9,Did recid.,Did recid.
265,Black,Male,28,0,0,6,337,0,6,Did recid.,Did recid.
266,Hispanic,Male,54,0,0,2,65,1,1,No recid.,No recid.
267,Hispanic,Male,58,0,0,0,311,1,2,No recid.,No recid.
268,Caucasian,Male,78,0,0,1,128,0,1,Did recid.,No recid.
269,Caucasian,Male,56,0,0,0,306,1,1,No recid.,No recid.
271,Other,Male,24,0,0,0,65,1,2,No recid.,No recid.
272,Black,Male,38,2,2,22,74,1,8,Did recid.,Did recid.
275,Black,Male,22,0,0,1,246,1,5,Did recid.,Did recid.
277,Black,Male,47,0,0,23,283,0,8,Did recid.,Did recid.
278,Black,Male,23,0,0,0,45,0,2,Did recid.,No recid.
279,Hispanic,Male,57,0,0,1,129,1,1,No recid.,No recid.
280,Caucasian,Female,38,0,0,2,306,1,5,Did recid.,Did recid.
281,Black,Male,66,0,0,3,6,1,1,No recid.,No recid.
282,Caucasian,Male,45,0,0,8,423,0,4,Did recid.,No recid.
285,Other,Female,52,0,0,0,28,0,3,Did recid.,No recid.
286,Black,Male,32,0,0,13,252,1,10,Did recid.,Did recid.
287,Black,Male,37,0,0,2,45,0,9,Did recid.,Did recid.
288,Caucasian,Male,39,0,0,0,317,1,4,Did recid.,No recid.
289,Black,Male,26,0,0,9,112,1,9,Did recid.,Did recid.
291,Caucasian,Male,45,0,0,2,211,1,3,No recid.,No recid.
293,Black,Male,23,0,0,0,303,1,3,Did recid.,No recid.
294,Black,Male,34,0,0,2,45,0,2,No recid.,No recid.
297,Black,Female,23,0,0,1,45,0,4,No recid.,No recid.
298,Other,Male,36,0,0,2,45,0,3,Did recid.,No recid.
299,Caucasian,Male,50,0,0,1,359,1,1,No recid.,No recid.
300,Caucasian,Female,37,0,0,0,208,0,3,No recid.,No recid.
301,Caucasian,Male,44,0,0,4,45,0,4,No recid.,No recid.
302,Black,Female,35,0,1,23,175,1,9,Did recid.,Did recid.
304,Other,Male,24,0,0,5,28,1,5,Did recid.,Did recid.
306,Black,Male,26,0,0,2,179,1,10,Did recid.,Did recid.
308,Black,Male,27,0,0,0,92,0,2,No recid.,No recid.
310,Black,Female,28,0,0,0,10,1,8,No recid.,Did recid.
311,Caucasian,Male,43,0,0,11,28,1,5,Did recid.,Did recid.
313,Caucasian,Female,28,0,0,7,175,1,9,Did recid.,Did recid.
315,Black,Male,38,0,0,2,129,1,1,No recid.,No recid.
316,Caucasian,Male,27,0,0,2,397,0,4,No recid.,No recid.
317,Black,Female,28,0,0,1,28,1,9,No recid.,Did recid.
319,Caucasian,Male,56,0,0,7,172,1,1,Did recid.,No recid.
320,Black,Male,38,0,0,15,306,1,9,No recid.,Did recid.
321,Black,Male,28,0,0,2,283,0,5,No recid.,Did recid.
322,Black,Male,45,0,0,3,28,1,6,No recid.,Did recid.
323,Hispanic,Male,28,0,0,0,134,0,2,No recid.,No recid.
325,Caucasian,Male,61,0,0,1,28,1,1,No recid.,No recid.
326,Caucasian,Female,51,0,0,0,128,0,1,Did recid.,No recid.
327,Caucasian,Male,51,0,0,0,45,0,2,No recid.,No recid.
329,Other,Male,36,0,0,1,283,0,1,Did recid.,No recid.
330,Black,Male,48,0,0,0,20,1,1,No recid.,No recid.
331,Caucasian,Male,37,0,0,4,28,1,3,Did recid.,No recid.
332,Black,Female,30,0,0,2,190,1,7,No recid.,Did recid.
333,Black,Female,41,0,0,5,45,0,6,No recid.,Did recid.
334,Black,Male,27,0,0,11,342,1,10,Did recid.,Did recid.
335,Black,Male,37,0,0,0,45,0,1,No recid.,No recid.
336,Other,Male,33,0,0,4,16,1,4,Did recid.,No recid.
337,Black,Male,54,0,0,11,186,1,9,No recid.,Did recid.
338,Black,Male,23,0,0,2,343,1,9,No recid.,Did recid.
341,Black,Female,26,0,0,2,28,1,4,Did recid.,No recid.
344,Black,Male,41,0,0,0,45,0,1,No recid.,No recid.
345,Caucasian,Male,52,0,0,0,66,1,1,No recid.,No recid.
347,Caucasian,Male,43,0,0,13,129,1,4,Did recid.,No recid.
348,Black,Male,52,0,0,0,418,1,4,No recid.,No recid.
349,Caucasian,Male,28,0,0,1,28,1,1,No recid.,No recid.
350,Black,Male,30,0,0,11,45,0,9,Did recid.,Did recid.
351,Caucasian,Male,28,0,0,1,92,1,5,No recid.,Did recid.
354,Black,Male,22,0,0,0,246,1,4,No recid.,No recid.
355,Black,Male,30,0,0,4,129,1,2,No recid.,No recid.
356,Hispanic,Male,25,0,0,4,303,1,4,No recid.,No recid.
357,Caucasian,Male,31,0,0,0,65,1,8,Did recid.,Did recid.
358,Caucasian,Male,37,0,0,0,190,1,2,Did recid.,No recid.
359,Black,Male,32,0,1,14,21,1,9,No recid.,Did recid.
360,Black,Male,26,0,1,4,283,0,8,No recid.,Did recid.
361,Caucasian,Male,53,0,0,1,45,0,1,No recid.,No recid.
362,Black,Male,28,0,0,25,28,1,8,Did recid.,Did recid.
363,Caucasian,Male,44,0,0,8,45,0,5,Did recid.,Did recid.
364,Black,Male,25,0,0,0,190,1,3,No recid.,No recid.
366,Caucasian,Male,22,0,0,1,430,0,8,Did recid.,Did recid.
369,Other,Female,37,0,0,0,45,0,1,No recid.,No recid.
372,Other,Female,40,0,0,3,129,1,2,No recid.,No recid.
374,Caucasian,Male,36,0,0,8,172,1,7,Did recid.,Did recid.
375,Caucasian,Male,30,0,0,4,159,1,2,No recid.,No recid.
376,Black,Male,22,0,0,3,328,0,9,Did recid.,Did recid.
377,Caucasian,Female,24,0,0,1,45,0,7,Did recid.,Did recid.
378,Black,Male,27,0,0,3,426,0,2,Did recid.,No recid.
379,Hispanic,Female,31,0,0,0,45,0,2,No recid.,No recid.
381,Hispanic,Male,23,0,0,1,28,1,6,Did recid.,Did recid.
382,Caucasian,Female,23,0,0,5,28,1,5,Did recid.,Did recid.
383,Hispanic,Male,24,0,0,0,283,0,8,No recid.,Did recid.
384,Black,Male,29,0,0,1,45,0,3,No recid.,No recid.
385,Black,Male,20,0,0,1,71,1,8,Did recid.,Did recid.
386,Black,Male,30,0,0,2,71,1,6,Did recid.,Did recid.
389,Other,Male,39,0,0,0,384,1,1,No recid.,No recid.
390,Black,Male,27,0,0,4,28,1,4,No recid.,No recid.
392,Caucasian,Male,31,0,0,2,28,0,4,No recid.,No recid.
393,Black,Female,37,0,0,2,28,1,1,No recid.,No recid.
396,Black,Male,20,0,0,0,292,1,8,No recid.,Did recid.
398,Hispanic,Male,22,0,0,0,280,1,7,No recid.,Did recid.
399,Black,Female,52,0,0,0,58,1,1,No recid.,No recid.
400,Black,Female,23,0,0,0,71,1,4,Did recid.,No recid.
402,Black,Female,48,0,0,0,15,1,2,No recid.,No recid.
403,Black,Male,66,0,0,8,112,1,6,Did recid.,Did recid.
404,Caucasian,Male,25,0,0,0,108,1,5,No recid.,Did recid.
405,Caucasian,Male,27,0,0,0,190,1,6,Did recid.,Did recid.
406,Black,Male,30,0,0,11,404,1,7,Did recid.,Did recid.
407,Black,Male,22,0,1,3,45,0,10,Did recid.,Did recid.
408,Caucasian,Female,22,0,0,1,246,1,3,No recid.,No recid.
409,Black,Male,35,0,0,2,28,1,10,No recid.,Did recid.
410,Caucasian,Male,32,0,0,2,28,1,4,No recid.,No recid.
411,Black,Female,41,0,0,2,49,0,3,No recid.,No recid.
414,Other,Female,25,0,0,0,15,1,2,No recid.,No recid.
415,Black,Male,44,0,0,24,240,0,7,No recid.,Did recid.
416,Black,Male,52,0,0,3,306,1,6,Did recid.,Did recid.
417,Black,Male,43,0,0,0,169,1,1,No recid.,No recid.
423,Caucasian,Male,37,0,0,3,28,1,1,No recid.,No recid.
424,Black,Male,28,0,0,3,283,0,4,Did recid.,No recid.
425,Caucasian,Male,70,0,0,1,45,0,1,No recid.,No recid.
426,Caucasian,Male,54,0,0,6,306,1,2,Did recid.,No recid.
428,Caucasian,Male,46,0,0,3,28,1,4,No recid.,No recid.
429,Black,Male,21,0,0,0,242,0,9,Did recid.,Did recid.
430,Black,Male,26,0,0,1,45,0,8,Did recid.,Did recid.
431,Hispanic,Male,38,0,0,3,89,1,1,Did recid.,No recid.
432,Caucasian,Male,34,0,0,5,45,0,4,No recid.,No recid.
434,Black,Male,19,0,0,1,190,1,5,Did recid.,Did recid.
435,Black,Male,34,0,0,5,127,0,4,No recid.,No recid.
437,Caucasian,Male,23,0,0,0,15,1,5,Did recid.,Did recid.
438,Black,Male,34,0,0,5,319,1,4,Did recid.,No recid.
439,Black,Male,30,0,0,2,28,1,1,No recid.,No recid.
440,Black,Male,39,0,0,6,21,1,3,Did recid.,No recid.
441,Other,Male,24,0,0,0,156,1,3,No recid.,No recid.
442,Caucasian,Male,33,0,0,1,128,0,3,Did recid.,No recid.
445,Caucasian,Male,58,0,0,2,8,1,3,No recid.,No recid.
446,Black,Female,21,0,0,0,45,0,6,No recid.,Did recid.
450,Black,Male,21,0,0,1,42,1,5,No recid.,Did recid.
451,Black,Male,23,0,0,4,283,0,8,Did recid.,Did recid.
452,Caucasian,Male,62,0,0,0,159,1,1,No recid.,No recid.
454,Black,Male,27,1,0,4,283,0,8,Did recid.,Did recid.
456,Caucasian,Male,37,0,0,5,49,1,3,No recid.,No recid.
457,Other,Male,43,0,0,2,190,1,2,Did recid.,No recid.
459,Black,Female,32,0,0,5,10,1,1,No recid.,No recid.
461,Hispanic,Male,23,0,0,0,58,1,3,No recid.,No recid.
462,Black,Male,27,0,0,0,45,0,1,No recid.,No recid.
463,Caucasian,Male,44,0,0,0,45,0,1,Did recid.,No recid.
464,Caucasian,Male,28,0,0,3,45,0,3,Did recid.,No recid.
465,Caucasian,Female,42,0,0,0,306,1,2,No recid.,No recid.
467,Other,Male,24,0,1,9,336,1,10,Did recid.,Did recid.
468,Black,Male,27,0,0,0,10,1,2,No recid.,No recid.
469,Black,Male,20,0,0,0,186,1,10,Did recid.,Did recid.
474,Caucasian,Female,51,0,0,0,49,0,1,No recid.,No recid.
475,Caucasian,Male,56,0,0,0,50,0,1,No recid.,No recid.
478,Black,Male,29,0,0,7,28,1,9,No recid.,Did recid.
480,Black,Male,20,0,0,0,190,1,9,Did recid.,Did recid.
481,Caucasian,Male,53,0,0,6,28,1,1,No recid.,No recid.
484,Caucasian,Male,27,0,0,8,28,1,5,No recid.,Did recid.
485,Black,Male,24,0,1,2,64,1,9,Did recid.,Did recid.
487,Caucasian,Male,53,0,0,36,85,1,6,Did recid.,Did recid.
489,Caucasian,Male,28,0,0,2,45,0,3,Did recid.,No recid.
493,Black,Male,45,0,0,1,89,1,1,No recid.,No recid.
494,Hispanic,Male,21,0,1,3,190,1,5,No recid.,Did recid.
495,Black,Female,36,0,0,0,10,1,7,No recid.,Did recid.
496,Caucasian,Female,25,0,0,2,242,0,4,Did recid.,No recid.
497,Hispanic,Female,23,0,0,1,239,0,3,No recid.,No recid.
499,Caucasian,Male,28,0,0,1,246,1,5,No recid.,Did recid.
500,Black,Female,21,0,0,0,344,1,8,Did recid.,Did recid.
501,Caucasian,Male,36,0,0,0,423,0,3,No recid.,No recid.
502,Black,Male,24,0,0,0,190,1,3,No recid.,No recid.
503,Black,Male,28,0,0,3,28,1,6,Did recid.,Did recid.
504,Other,Male,30,0,0,1,28,1,2,Did recid.,No recid.
505,Black,Male,29,0,0,0,15,1,1,No recid.,No recid.
509,Caucasian,Female,30,0,0,0,45,0,6,No recid.,Did recid.
510,Hispanic,Male,51,0,0,1,31,0,1,No recid.,No recid.
511,Other,Male,33,0,0,3,169,1,1,No recid.,No recid.
512,Black,Female,25,0,0,2,28,1,6,No recid.,Did recid.
516,Black,Male,32,0,1,12,28,1,9,Did recid.,Did recid.
517,Black,Male,23,0,0,1,190,1,6,No recid.,Did recid.
518,Black,Male,47,0,0,3,292,1,3,No recid.,No recid.
521,Hispanic,Female,32,0,0,1,306,1,3,Did recid.,No recid.
522,Caucasian,Male,37,0,0,0,181,1,1,No recid.,No recid.
523,Black,Male,19,0,2,2,268,1,10,Did recid.,Did recid.
524,Hispanic,Male,27,0,0,0,45,0,8,No recid.,Did recid.
525,Other,Male,39,0,0,0,45,0,1,No recid.,No recid.
526,Caucasian,Female,21,0,0,0,306,1,6,No recid.,Did recid.
527,Caucasian,Male,69,0,0,0,15,0,1,No recid.,No recid.
530,Caucasian,Male,21,0,0,2,28,1,6,No recid.,Did recid.
531,Black,Male,26,0,0,6,45,0,10,Did recid.,Did recid.
532,Caucasian,Male,22,0,0,0,306,1,4,No recid.,No recid.
533,Black,Female,23,0,0,0,129,1,5,Did recid.,Did recid.
537,Black,Male,49,0,0,3,186,1,5,No recid.,Did recid.
538,Black,Male,29,0,0,2,45,0,4,No recid.,No recid.
540,Caucasian,Female,60,0,0,0,45,0,1,No recid.,No recid.
541,Black,Female,26,0,0,0,28,0,10,No recid.,Did recid.
542,Black,Male,23,2,0,3,280,1,10,Did recid.,Did recid.
543,Hispanic,Male,34,0,0,2,28,0,5,Did recid.,Did recid.
545,Other,Female,20,1,0,1,28,1,4,No recid.,No recid.
546,Hispanic,Male,36,0,0,1,176,1,3,No recid.,No recid.
547,Caucasian,Male,30,0,0,0,306,1,4,No recid.,No recid.
548,Black,Male,21,0,1,1,190,1,3,No recid.,No recid.
552,Caucasian,Male,22,0,0,2,283,0,6,Did recid.,Did recid.
553,Black,Male,57,0,0,18,28,1,8,No recid.,Did recid.
557,Black,Male,21,0,0,4,28,1,9,Did recid.,Did recid.
558,Black,Male,21,0,0,0,64,1,5,Did recid.,Did recid.
561,Caucasian,Male,34,0,0,1,45,0,1,No recid.,No recid.
563,Caucasian,Female,50,0,0,1,45,0,1,Did recid.,No recid.
565,Caucasian,Male,40,0,0,0,28,1,7,Did recid.,Did recid.
566,Black,Male,25,0,0,7,377,1,8,Did recid.,Did recid.
567,Caucasian,Female,53,0,0,1,45,0,1,No recid.,No recid.
569,Black,Female,24,0,0,0,15,1,4,No recid.,No recid.
572,Black,Male,42,0,0,1,28,1,1,No recid.,No recid.
573,Black,Male,28,0,0,1,45,0,3,No recid.,No recid.
574,Caucasian,Male,24,0,0,1,123,0,4,No recid.,No recid.
576,Black,Male,26,1,1,6,342,1,8,Did recid.,Did recid.
579,Black,Male,22,0,0,4,190,1,9,Did recid.,Did recid.
580,Caucasian,Male,21,0,0,3,28,0,7,No recid.,Did recid.
581,Black,Male,37,0,0,23,49,1,9,Did recid.,Did recid.
584,Black,Male,35,0,0,2,303,1,5,No recid.,Did recid.
586,Black,Male,53,0,0,2,172,1,1,No recid.,No recid.
587,Black,Male,60,0,0,1,28,1,1,No recid.,No recid.
588,Black,Male,29,0,0,7,306,1,4,No recid.,No recid.
590,Caucasian,Male,48,1,0,23,175,1,8,Did recid.,Did recid.
594,Caucasian,Female,52,0,0,0,45,0,1,No recid.,No recid.
597,Black,Male,27,0,0,12,129,1,8,Did recid.,Did recid.
598,Black,Male,28,0,0,5,28,1,9,No recid.,Did recid.
599,Caucasian,Male,33,0,0,3,45,0,3,No recid.,No recid.
600,Hispanic,Female,28,0,0,0,28,1,2,No recid.,No recid.
601,Caucasian,Male,47,0,0,5,306,1,10,Did recid.,Did recid.
602,Black,Male,36,0,0,14,383,1,7,Did recid.,Did recid.
603,Black,Male,29,1,0,2,21,1,5,No recid.,Did recid.
604,Black,Male,22,0,0,0,410,0,9,Did recid.,Did recid.
605,Black,Male,26,0,0,6,252,1,7,No recid.,Did recid.
608,Caucasian,Male,25,0,0,0,336,1,2,No recid.,No recid.
609,Caucasian,Male,68,0,0,2,15,1,1,No recid.,No recid.
611,Black,Male,56,0,0,5,129,1,3,No recid.,No recid.
